,Home Team Initials,Away Team Initials,weight,Home Goal Total
444,NGA,BIH,1,1
445,NGA,BUL,2,4
446,NGA,DEN,1,1
447,NGA,ENG,1,0
448,NGA,ITA,1,1
449,NGA,KOR,1,2
450,NGA,PAR,1,1
451,NIR,BRA,1,0
452,NIR,ESP,2,2
453,NIR,TCH,2,3
454,NOR,MEX,1,1
455,NZL,SVK,1,1
456,PAR,BEL,2,3
457,PAR,BUL,1,0
458,PAR,ESP,1,0
459,PAR,IRQ,1,1
460,PAR,JPN,1,0
461,PAR,NZL,1,0
462,PAR,RSA,1,2
463,PAR,SCO,1,3
464,PAR,TRI,1,2
465,PAR,YUG,1,3
466,PER,BUL,1,3
467,PER,CMR,1,0
468,PER,IRN,1,4
469,PER,MAR,1,3
470,PER,SCO,1,3
471,POL,ARG,1,3
472,POL,BEL,1,3
473,POL,CMR,1,0
474,POL,ECU,1,0
475,POL,FRA,1,3
476,POL,FRG,1,0
477,POL,ITA,2,2
478,POL,MEX,1,3
479,POL,PER,2,6
480,POL,POR,1,1
481,POL,TUN,1,1
482,POL,URS,1,0
483,POL,USA,1,3
484,POL,YUG,1,2
485,POR,BRA,2,3
486,POR,BUL,1,3
487,POR,ENG,1,1
488,POR,FRA,1,0
489,POR,GHA,1,2
490,POR,HUN,1,3
491,POR,IRN,1,2
492,POR,KOR,1,0
493,POR,MAR,1,1
494,POR,MEX,1,2
495,POR,NED,1,1
496,POR,POL,1,4
497,POR,PRK,2,12
498,POR,URS,1,2
499,PRK,CHI,1,1
500,PRK,CIV,1,0
501,PRK,ITA,1,1
502,ROU,ARG,1,3
503,ROU,COL,1,1
504,ROU,CRO,1,0
505,ROU,ENG,1,2
506,ROU,PER,1,3
507,ROU,SUI,1,1
508,ROU,SWE,1,2
509,ROU,TCH,1,2
510,ROU,TUN,1,1
511,RSA,DEN,1,1
512,RSA,ESP,1,2
513,RSA,KSA,1,2
514,RSA,MEX,1,1
515,RSA,SVN,1,1
516,RSA,URU,1,0
517,RUS,CMR,1,6
518,RUS,KOR,1,1
519,RUS,TUN,1,2
520,SCG,NED,1,0
521,SCO,BRA,1,0
522,SCO,DEN,1,0
523,SCO,IRN,1,1
524,SCO,MAR,1,0
525,SCO,NED,1,3
526,SCO,NOR,1,1
527,SCO,NZL,1,5
528,SCO,URU,1,0
529,SCO,YUG,1,1
530,SEN,TUR,1,0
531,SEN,URU,1,3
532,SRB,GHA,1,0
533,SUI,COL,1,0
534,SUI,ECU,1,2
535,SUI,FRA,1,2
536,SUI,GER,2,5
537,SUI,HON,1,0
538,SUI,ITA,2,6
539,SUI,KOR,1,2
540,SUI,MEX,1,2
541,SUI,NED,1,3
542,SUI,UKR,1,0
543,SVK,ITA,1,3
544,SVK,PAR,1,0
545,SVN,ENG,1,0
546,SVN,PAR,1,1
547,SVN,USA,1,2
548,SWE,ARG,2,4
549,SWE,BRA,2,1
550,SWE,BUL,2,4
551,SWE,CRC,1,1
552,SWE,CUB,1,8
553,SWE,ENG,1,2
554,SWE,ESP,1,3
555,SWE,FRG,1,3
556,SWE,HUN,1,2
557,SWE,ISR,1,1
558,SWE,ITA,1,3
559,SWE,MEX,1,3
560,SWE,NGA,1,2
561,SWE,PAR,2,3
562,SWE,POL,1,0
563,SWE,RUS,1,3
564,SWE,SCO,1,1
565,SWE,SEN,1,1
566,SWE,URS,1,2
567,SWE,URU,2,4
568,SWE,WAL,1,0
569,SWE,YUG,1,2
570,TCH,ARG,1,6
571,TCH,CRC,1,4
572,TCH,ESP,1,1
573,TCH,GER,1,3
574,TCH,HUN,1,1
575,TCH,KUW,1,1
576,TCH,NED,1,3
577,TCH,ROU,1,2
578,TCH,SUI,1,3
579,TCH,YUG,1,3
580,TOG,FRA,1,0
581,TOG,SUI,1,0
582,TRI,SWE,1,0
583,TUN,BEL,1,1
584,TUN,JPN,1,0
585,TUN,KSA,1,2
586,TUN,MEX,1,3
587,TUR,CHN,1,3
588,TUR,KOR,1,7
589,UAE,COL,1,0
590,UKR,TUN,1,1
591,URS,AUT,1,2
592,URS,BEL,2,7
593,URS,CAN,1,2
594,URS,CHI,1,2
595,URS,COL,1,4
596,URS,ENG,2,3
597,URS,HUN,2,8
598,URS,ITA,1,1
599,URS,NZL,1,3
600,URS,PRK,1,3
601,URS,ROU,1,0
602,URS,SCO,1,2
603,URS,SLV,1,2
604,URS,URU,1,2
605,URS,YUG,1,2
606,URU,ARG,1,4
607,URU,BOL,1,8
608,URU,BRA,1,2
609,URU,COL,1,2
610,URU,CRC,1,1
611,URU,DEN,1,1
612,URU,ENG,2,6
613,URU,ESP,2,2
614,URU,FRA,2,2
615,URU,FRG,1,1
616,URU,GER,1,2
617,URU,GHA,1,1
618,URU,ISR,1,2
619,URU,ITA,1,0
620,URU,KOR,1,2
621,URU,MEX,1,0
622,URU,NED,2,2
623,URU,PER,1,1
624,URU,ROU,1,4
625,URU,SCO,1,7
626,URU,SWE,1,3
627,URU,TCH,1,2
628,URU,URS,1,1
629,URU,YUG,1,6
630,USA,ALG,1,1
631,USA,BEL,1,3
632,USA,COL,1,2
633,USA,CZE,1,0
634,USA,ENG,1,1
635,USA,GER,1,0
636,USA,GHA,1,1
637,USA,IRN,1,1
638,USA,PAR,1,3
639,USA,POR,2,5
640,USA,ROU,1,0
641,USA,SUI,1,1
642,USA,TCH,1,1
643,USA,YUG,1,0
644,WAL,HUN,1,2
645,YUG,ARG,1,0
646,YUG,BOL,1,4
647,YUG,BRA,1,2
648,YUG,COL,2,6
649,YUG,FRA,2,4
650,YUG,FRG,2,1
651,YUG,IRN,1,1
652,YUG,MEX,1,4
653,YUG,NIR,1,0
654,YUG,SCO,1,1
655,YUG,SUI,1,3
656,YUG,UAE,1,4
657,YUG,URU,1,3
658,YUG,ZAI,1,9
659,ZAI,BRA,1,0
660,ZAI,SCO,1,0
